,SPY,QQQ,EFA,EEM,IEF,TLT,LQD,GLD,VNQ
Total return,8.036459565194207,16.76251237631501,2.0854904609985314,1.2467624185093285,0.4990034070078595,0.46847333976149463,0.8383655317260528,2.6317848627536176,3.0605947466720993
CAGR,0.14130284331374088,0.18856750348241635,0.0699917730940336,0.049804684945781386,0.02460317420399427,0.02333804534178019,0.037235215016789835,0.08051606710023229,0.0877810278794744
Volatility,0.17065507457782209,0.20651708446354872,0.18335139595999803,0.2164080848156241,0.06570291713752135,0.14908164923776057,0.07583360893368121,0.1676616014143559,0.20284702217638245
Downside deviation,0.12136402100660812,0.14540430103155505,0.13271340253509267,0.15526895075610556,0.046181372789415996,0.105144425111605,0.05368719605554182,0.12033386927140047,0.1462945771210535
Sharpe,0.772430525475926,0.8676559253234731,0.379399092593358,0.26396666673461844,0.17467308308055776,0.12873218023388605,0.3223652720421194,0.4567990346452295,0.44311892041169965
Sortino,1.086122995917535,1.2322918678504575,0.5241331070262285,0.367886366034037,0.24856105761804778,0.18254697048941745,0.4553780817260101,0.6363372424552652,0.6144496984612703
Max drawdown,-0.3371726274233199,-0.3511872111432882,-0.3419335904239914,-0.3982232516753087,-0.23924760908335596,-0.48351126606753525,-0.24954883545236528,-0.45555012734257083,-0.4239817522953001
Max DD length (days),120.0,494.0,707.0,1149.0,1534.0,1534.0,1248.0,2248.0,289.0
Calmar,0.4190815974403975,0.5369429680213462,0.2046940547936372,0.12506724490911855,0.1028356116002911,0.0482678418883427,0.14921013335643243,0.17674469233477946,0.20703963650382662
Daily VaR 95%,0.016351380184856948,0.020689554373237162,0.017516547375628154,0.02082264301249614,0.0065298714589673455,0.014895252404443293,0.007005003823709386,0.016720483682822074,0.019196724861200894
Daily CVaR 95%,0.025955560707200905,0.030954929256914385,0.027545853979246148,0.03147722842570787,0.009076111652342424,0.02024033551470435,0.010818747000529967,0.02504235963866499,0.030001726364059293
Omega,1.1769193139625216,1.185951354009528,1.0880174417800799,1.0600156081267855,1.06946064337299,1.0390644274388978,1.1037126900573657,1.1018392105444628,1.100575972123447
Best month,0.12698356433069757,0.15690076873760828,0.14269403800613145,0.16267812077799504,0.04651286512165864,0.13206127374581889,0.0757443166380094,0.12274943937515781,0.14291375658437144
Worst month,-0.12487118442299716,-0.13595737184082546,-0.14106696720248701,-0.1789471921706025,-0.04734975193700053,-0.09423874430674484,-0.06699222137313832,-0.11684884638695336,-0.19391814028973542
% positive months,0.681592039800995,0.6268656716417911,0.6069651741293532,0.5323383084577115,0.5223880597014925,0.5024875621890548,0.5970149253731343,0.5124378109452736,0.6019900497512438
skew,-0.32928204842625697,-0.20180269126487574,-0.5562001738891195,-0.3542791224131451,0.05213425507144489,0.049881908742033444,0.3885528332045044,-0.5436205148630872,-0.7365580577630937
excess_kurtosis,12.03041310591968,7.022635078770207,9.12594435999848,5.683954976806275,2.330856266963976,3.5799672375268505,30.515571314186047,6.003830067194707,15.607902364025616
Beta,1.6195299674659733,1.8322138343876682,1.5030185189615004,1.6078551598346191,-0.052620652083591825,-0.18361247871559006,0.25729019305316553,0.1960802769666487,1.4791532256060387
Alpha (ann),-0.0004787720826483254,0.02951194123754392,-0.05321803281036579,-0.07422001263975656,0.015777329721340234,0.03419260343159459,0.0034306318231734877,0.06055565463828596,-0.030937370709594805
Alpha t-stat,-0.06176448408723841,1.476250384542605,-2.24061722706464,-2.190836210767527,0.9830483721054079,0.9434864368302285,0.19714977003208306,1.4850163395953564,-0.9490443174849184
R-squared,0.9656445343145034,0.8439643536156864,0.7205545590489316,0.5919074230111296,0.006874212517756137,0.016259802261232883,0.12340014171716736,0.014669864993625898,0.570027983304865
Correlation,0.9826769005687108,0.9186955888200685,0.8488984726068691,0.7694211800077649,-0.08301403034752837,-0.1276708375707709,0.35128184081312086,0.12142068593508101,0.7549243686759044
Tracking error,0.07152356178988212,0.11865903578820881,0.11002786971040827,0.1518925090308544,0.12715569486205472,0.19206564007329158,0.10467123392652564,0.18605534164147455,0.14197060301924708
Information ratio,0.7008733261028072,0.8216250841594278,-0.11022488632272032,-0.16173258017174388,-0.5521452000972255,-0.32537574734387315,-0.5468486703143294,-0.027488460447545146,0.05778211248096698
Up capture,1.5167289300615254,1.783618997565992,1.2398123689086744,1.1322451797440698,0.1448922821363729,0.1505892301933543,0.4325602754548101,0.4974187743580391,1.2506741525928418
Down capture,1.5624003169168499,1.6263964750001643,1.7460739388060886,1.7486178278812758,0.019516353407399527,0.04591641616244236,0.4747377721550554,0.13312443715943406,1.5813511363282442
Monthly hit rate,0.6567164179104478,0.5970149253731343,0.5024875621890548,0.4975124378109453,0.3582089552238806,0.3880597014925373,0.3880597014925373,0.4527363184079602,0.5074626865671642
