,Portfolio,60/40 (SPY/AGG),Portfolio (buy & hold)
Total return,3.579150586709514,3.573767141521536,4.937900619437788
CAGR,0.09565906220657094,0.09558167797894646,0.11288721928059542
Volatility,0.1045212339603116,0.10354778377949116,0.12577359971021226
Downside deviation,0.07403203724727983,0.07388628698432273,0.08905673175209793
Sharpe,0.7832041833136476,0.7889061389637474,0.7944714177379085
Sortino,1.105688108804742,1.1055813031074904,1.1219052633514772
Max drawdown,-0.2455305850393532,-0.21630723690492892,-0.2712456290074853
Max DD length (days),565.0,105.0,522.0
Calmar,0.389601410314071,0.44187924244511706,0.41618078674174763
Daily VaR 95%,0.009805894794761651,0.009749589343957617,0.012120208666434993
Daily CVaR 95%,0.015418134256369452,0.015588127629696602,0.01882570867414761
Omega,1.1828028441561376,1.1918681042438164,1.184643429037381
Best month,0.07945215586607257,0.08306641849398444,0.09722387935005372
Worst month,-0.08091246631398386,-0.0770299247243943,-0.09029791765374073
% positive months,0.6517412935323383,0.6766169154228856,0.6567164179104478
skew,-0.3540712983542348,-0.4699336942162666,-0.24929358528637008
excess_kurtosis,9.558589872440088,13.035043269038464,11.690458668969232
Beta,0.9647439927675738,,1.1744863730292696
Alpha (ann),0.003049013758555591,,0.003972598389759282
Alpha t-stat,0.4048493745382625,,0.5060289098772235
R-squared,0.9135406323820338,,0.9351150076409293
Correlation,0.9557974837073864,,0.9670351593531508
Tracking error,0.030947538792639978,,0.036778080539771406
Information ratio,0.005462334505442228,,0.4955647052854883
Up capture,0.9988189965924573,,1.1535213085606981
Down capture,0.9968129785005567,,1.1287620087314834
Monthly hit rate,0.48756218905472637,,0.5671641791044776
